,link,general_rate,nb_ratings,reviews_count_1_star,reviews_count_2_stars,reviews_count_3_stars,reviews_count_4_stars,reviews_count_5_stars,reviews
14,https://freeglisse.com/fr/ski-de-fond-occasion-alternatif-norme-sns/18972-ski-de-fond-occasion-rossignol-progress-fixaxion-sns-profil.html,,,0,0,0,0,0,[]
15,https://freeglisse.com/fr/ski-de-fond-occasion-alternatif-norme-nnn/18914-ski-de-fond-occasion-fischer-cruiser-crown-fixation-nnn.html,,,0,0,0,0,0,[]
16,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/13097-ski-occasion-atomic-tous-modele-a-29-fixations.html,5/5,1.0,0,0,0,0,1,['Très bon état nous allons les tester le 3 février !!!']
17,https://freeglisse.com/fr/ski-occasion-adulte-loisir/18536-ski-occasion-dynastar-legend-x-75-fixations.html,,,0,0,0,0,0,[]
18,https://freeglisse.com/fr/ski-occasion-femme-all-mountain/17203-ski-occasion-k2-thrilluvit-85-fixations.html,,,0,0,0,0,0,[]
19,https://freeglisse.com/fr/ski-occasion-adulte-all-mountain/18381-ski-occasion-dynastar-speed-zone-4x4-82-fixations.html,,,0,0,0,0,0,[]
20,https://freeglisse.com/fr/ski-occasion-femme-all-mountain/18929-ski-occasion-atomic-cloud-q9-fixations.html,5/5,1.0,0,0,0,0,1,['Idem']
21,https://freeglisse.com/fr/ski-occasion-junior-pas-cher/16346-ski-fille-occasion-junior-toutes-marques-a-29-fixations.html,,,0,0,0,0,0,[]
22,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/13090-ski-occasion-rossignol-tous-modele-a-29-fixations.html,4.3/5,6.0,0,0,0,4,2,"['Parfait!', 'Superbe', ""Matériel conforme au degré d'usure annoncé"", 'Produit conforme à la commande, la semelle des skis a été refaite, livré rapidement 👍🏻', 'bon prix', 'super']"
23,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/13081-ski-occasion-adulte-k2-tous-modeles-a-29-fixations.html,4/5,1.0,0,0,0,1,0,['Me semblent bien mais pas essayé. Livraison rapide']
24,https://freeglisse.com/fr/ski-occasion-junior-pas-cher/16346-ski-fille-occasion-junior-toutes-marques-a-29-fixations.html,,,0,0,0,0,0,[]
25,https://freeglisse.com/fr/ski-occasion-adulte-performance/18966-ski-occasion-rossignol-strato-edition-2023-fixations.html,,,0,0,0,0,0,[]
26,https://freeglisse.com/fr/ski-occasion-adulte-all-mountain/16751-ski-occasion-nordica-navigator-85-fixations.html,,,0,0,0,0,0,[]
27,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/13096-ski-occasion-dynastar-tous-modele-a-29-fixations.html,4.6/5,5.0,0,0,1,0,4,"['Matériel un peu vieillot en Dynastar, autant voir sur les autres marques', 'Classe C en bon état général.', 'Top produit !', 'super', 'tres rapide tout est ok']"
28,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/13083-ski-occasion-volkl-tous-modele-a-29-fixations.html,5/5,1.0,0,0,0,0,1,['Nickel']
29,https://freeglisse.com/fr/ski-occasion-femme-performance/15968-ski-occasion-fischer-brilliant-my-turn-fixations.html,,,0,0,0,0,0,[]
30,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/13085-ski-occasion-elan-tous-modele-a-29-fixations.html,,,0,0,0,0,0,[]
31,https://freeglisse.com/fr/ski-occasion-freeride/18418-ski-occasion-volkl-secret-fixations.html,,,0,0,0,0,0,[]
32,https://freeglisse.com/fr/ski-occasion-junior-loisir/18333-ski-occasion-junior-dynastar-slider-fixations.html,,,0,0,0,0,0,[]
33,https://freeglisse.com/fr/ski-occasion-junior-performance/12512-ski-occasion-junior-head-supershape-fixations.html,5/5,1.0,0,0,0,0,1,"[""Semelles et carres en bon état c'est le plus important...""]"
34,https://freeglisse.com/fr/ski-occasion-junior-loisir/14483-ski-occasion-junior-tecnopro-team-pulse-fixations.html,4/5,1.0,0,0,0,1,0,['Ski comme prévu sur le site']
35,https://freeglisse.com/fr/ski-occasion-freeride/18415-ski-occasion-kastle-fx-96-fixations.html,,,0,0,0,0,0,[]
36,https://freeglisse.com/fr/ski-occasion-freestyle/18382-ski-occasion-armada-arv-84-fixations.html,,,0,0,0,0,0,[]
37,https://freeglisse.com/fr/ski-occasion-femme-all-mountain/17099-ski-occasion-dynastar-intense-4x4-78-fixations.html,,,0,0,0,0,0,[]
38,https://freeglisse.com/fr/ski-occasion-junior-performance/18548-ski-occasion-junior-salomon-s-race-jr-fixations.html,4/5,4.0,0,0,2,0,2,"['Dommage que les défauts ne soient pas mieux décris ou en photo', 'Livraison rapide et sans souci par contre déçu par les skis. Pour une qualité A ils sont pas top!', 'Conforme', 'Bien']"
39,https://freeglisse.com/fr/ski-occasion-adulte-loisir/13390-ski-occasion-volkl-rtm-74-fixations.html,3.5/5,2.0,0,0,1,1,0,"['Très bien', ""Nombreux impacts sur le dessus, semelle et carres en état moyen. Fixation d'une marque connue.""]"
40,https://freeglisse.com/fr/ski-occasion-junior-freeride-freestyle/11479-ski-occasion-junior-nordica-ace-of-spades-fixations.html,,,0,0,0,0,0,[]
41,https://freeglisse.com/fr/ski-occasion-junior-loisir/14269-ski-occasion-junior-tecnopro-team-pulse-fixations.html,4.3/5,3.0,0,0,1,0,2,"['Super', 'Correct', 'Nickel']"
